DATASET_ID;Date;Region;Station;StationNum;Depth;Run;Lib;Reads
ID1;20180216;North;SI3;83;470m;run4967;wgs;R1
ID2;20180529;South;SB2;484;90m;run4967;wgs;R1
ID3;20170818;South;SB5;838;1004m;run4789;wgs;R1
ID4;20170522;North;SI3;319;470m;run4789;wgs;R1
ID5;20180529;South;SB2;484;0m;run4967;wgs;R1
ID6;20150523;North;SI8;250;1045m;run4967;wgs;R1
ID7;20150523;North;SI8;250;0m;run4967;pcrfree;R1
ID8;20170809;North;SI8;761;1045m;run4789;wgs;R1
ID9;20160531;South;SB5;510;1004m;run4967;wgs;R1
ID10;20170818;South;SB2;835;0m;run4789;wgs;R1
ID11;20160531;South;SB5;510;0m;run4967;wgs;R1
ID12;20160523;North;SI8;428;1045m;run4967;wgs;R1
ID13;20170809;North;SI3;771;470m;run4789;wgs;R1
ID14;20160523;North;SI8;428;0m;run4967;wgs;R1
ID15;20170521;North;SI8;313;0m;run4789;pcrfree;R1
ID16;20150530;South;SB5;314;1004m;run4967;wgs;R1
ID17;20150530;South;SB5;314;0m;run4967;pcrfree;R1
ID18;20170809;North;SI8;761;0m;run4789;wgs;R1
ID19;20150530;South;SB5;314;0m;run4967;wgs;R1
ID20;20170530;South;SB5;429;1004m;run4789;wgs;R1
ID21;20180520;North;SI3;409;0m;run4967;pcrfree;R1
ID22;20170530;South;SB5;429;0m;run4789;pcrfree;R1
ID23;20180216;North;SI3;83;0m;run4967;pcrfree;R1
ID24;20170809;North;SI3;771;0m;run4789;wgs;R1
ID25;20180518;North;SI8;404;0m;run4967;wgs;R1
ID26;20180520;North;SI3;409;0m;run4967;wgs;R1
ID27;20170522;North;SI3;319;0m;run4789;pcrfree;R1
ID28;20180518;North;SI8;404;1045m;run4967;wgs;R1
ID29;20170818;South;SB2;835;0m;run4789;pcrfree;R1
ID30;20170530;South;SB5;429;0m;run4789;wgs;R1
ID31;20170809;North;SI3;771;0m;run4789;pcrfree;R1
ID32;20181201;Mock;MC1;000;0m;run4967;wgs;R1
ID33;20160531;South;SB5;510;0m;run4967;pcrfree;R1
ID34;20180216;North;SI8;92;0m;run4967;wgs;R1
ID35;20180216;North;SI8;92;1045m;run4967;wgs;R1
ID36;20160523;North;SI8;428;0m;run4967;pcrfree;R1
ID37;20181201;Mock;MC1;000;0m;run4967;pcrfree;R1
ID38;20180529;South;SB5;488;1004m;run4967;wgs;R1
ID39;20180529;South;SB5;488;0m;run4967;wgs;R1
ID40;20170818;South;SB5;838;0m;run4789;wgs;R1
